#pokedexnum,name,hp,atk,def,spa,spd,spe,type1,type2
492,Shaymin,100,100,100,100,100,100,GRASS,null
493,Arceus,120,120,120,120,120,120,NORMAL,null
494,Victini,100,100,100,100,100,100,PSYCHIC,FIRE
495,Snivy,45,45,55,45,55,63,GRASS,null
496,Servine,60,60,75,60,75,83,GRASS,null
497,Serperior,75,75,95,75,95,113,GRASS,null
498,Tepig,65,63,45,45,45,45,FIRE,null
499,Pignite,90,93,55,70,55,55,FIRE,FIGHTING
500,Emboar,110,123,65,100,65,65,FIRE,FIGHTING
501,Oshawott,55,55,45,63,45,45,WATER,null
502,Dewott,75,75,60,83,60,60,WATER,null
503,Samurott,95,100,85,108,70,70,WATER,null
504,Patrat,45,55,39,35,39,42,NORMAL,null
505,Watchog,60,85,69,60,69,77,NORMAL,null
506,Lillipup,45,60,45,25,45,55,NORMAL,null
507,Herdier,65,80,65,35,65,60,NORMAL,null
508,Stoutland,85,100,90,45,90,80,NORMAL,null
509,Purrloin,41,50,37,50,37,66,DARK,null
510,Liepard,64,88,50,88,50,106,DARK,null
511,Pansage,50,53,48,53,48,64,GRASS,null
512,Simisage,75,98,63,98,63,101,GRASS,null
513,Pansear,50,53,48,53,48,64,FIRE,null
514,Simisear,75,98,63,98,63,101,FIRE,null
515,Panpour,50,53,48,53,48,64,WATER,null
516,Simipour,75,98,63,98,63,101,WATER,null
517,Munna,76,25,45,67,55,24,PSYCHIC,null
518,Musharna,116,55,85,107,95,29,PSYCHIC,null
519,Pidove,50,55,50,36,30,43,NORMAL,FLYING
520,Tranquill,62,77,62,50,42,65,NORMAL,FLYING
521,Unfezant,80,105,80,65,55,93,NORMAL,FLYING
522,Blitzle,45,60,32,50,32,76,ELECTRIC,null
523,Zebstrika,75,100,63,80,63,116,ELECTRIC,null
524,Roggenrola,55,75,85,25,25,15,ROCK,null
525,Boldore,70,105,105,50,40,20,ROCK,null
526,Gigalith,85,135,130,60,70,25,ROCK,null
527,Woobat,55,45,43,55,43,72,PSYCHIC,FLYING
528,Swoobat,67,57,55,77,55,114,PSYCHIC,FLYING
529,Drilbur,60,85,40,30,45,68,GROUND,null
530,Excadrill,110,135,60,50,65,88,GROUND,STEEL
531,Audino,103,60,86,60,86,50,NORMAL,null
532,Timburr,75,80,55,25,35,35,FIGHTING,null
533,Gurdurr,85,105,85,40,50,40,FIGHTING,null
534,Conkeldurr,105,140,95,55,65,45,FIGHTING,null
535,Tympole,50,50,40,50,40,64,WATER,null
536,Palpitoad,75,65,55,65,55,69,WATER,GROUND
537,Seismitoad,105,85,75,85,75,74,WATER,GROUND
538,Throh,120,100,85,30,85,45,FIGHTING,null
539,Sawk,75,125,75,30,75,85,FIGHTING,null
540,Sewaddle,45,53,70,40,60,42,BUG,GRASS
541,Swadloon,55,63,90,50,80,42,BUG,GRASS
542,Leavanny,75,103,80,70,70,92,BUG,GRASS
543,Venipede,30,45,59,30,39,57,BUG,POISON
544,Whirlipede,40,55,99,40,79,47,BUG,POISON
545,Scolipede,60,90,89,55,69,112,BUG,POISON
546,Cottonee,40,27,60,37,50,66,GRASS,null
547,Whimsicott,60,67,85,77,75,116,GRASS,null
548,Petilil,45,35,50,70,50,30,GRASS,null
549,Lilligant,70,60,75,110,75,90,GRASS,null
550,Basculin,70,92,65,80,55,98,WATER,null
551,Sandile,50,72,35,35,35,65,GROUND,DARK
552,Krokorok,60,82,45,45,45,74,GROUND,DARK
553,Krookodile,95,117,70,65,70,92,GROUND,DARK
554,Darumaka,70,90,45,15,45,50,FIRE,null
555,Darmanitan,105,140,55,30,55,95,FIRE,null
556,Maractus,75,86,67,106,67,60,GRASS,null
557,Dwebble,50,65,85,35,35,55,BUG,ROCK
558,Crustle,70,95,125,65,75,45,BUG,ROCK
559,Scraggy,50,75,70,35,70,48,DARK,FIGHTING
560,Scrafty,65,90,115,45,115,58,DARK,FIGHTING
561,Sigilyph,72,58,80,103,80,97,PSYCHIC,FLYING
562,Yamask,38,30,85,55,65,30,GHOST,null
563,Cofagrigus,58,50,145,95,105,30,GHOST,null
564,Tirtouga,54,78,103,53,45,22,WATER,ROCK
565,Carracosta,74,108,133,83,65,32,WATER,ROCK
566,Archen,55,112,45,74,45,70,ROCK,FLYING
567,Archeops,75,140,65,112,65,110,ROCK,FLYING
568,Trubbish,50,50,62,40,62,65,POISON,null
569,Garbodor,80,95,82,60,82,75,POISON,null
570,Zorua,40,65,40,80,40,65,DARK,null
571,Zoroark,60,105,60,120,60,105,DARK,null
572,Minccino,55,50,40,40,40,75,NORMAL,null
573,Cinccino,75,95,60,65,60,115,NORMAL,null
574,Gothita,45,30,50,55,65,45,PSYCHIC,null
575,Gothorita,60,45,70,75,85,55,PSYCHIC,null
576,Gothitelle,70,55,95,95,110,65,PSYCHIC,null
577,Solosis,45,30,40,105,50,20,PSYCHIC,null
578,Duosion,65,40,50,125,60,30,PSYCHIC,null
579,Reuniclus,110,65,75,125,85,30,PSYCHIC,null
580,Ducklett,62,44,50,44,50,55,WATER,FLYING
581,Swanna,75,87,63,87,63,98,WATER,FLYING
582,Vanillite,36,50,50,65,60,44,ICE,null
583,Vanillish,51,65,65,80,75,59,ICE,null
584,Vanilluxe,71,95,85,110,95,79,ICE,null
585,Deerling,60,60,50,40,50,75,NORMAL,GRASS
586,Sawsbuck,80,100,70,60,70,95,NORMAL,GRASS
587,Emolga,55,75,60,75,60,103,ELECTRIC,FLYING
588,Karrablast,50,75,45,40,45,60,BUG,null
589,Escavalier,70,135,105,60,105,20,BUG,STEEL
590,Foongus,69,55,45,55,55,15,GRASS,POISON
591,Amoonguss,114,85,70,85,80,30,GRASS,POISON
592,Frillish,55,40,50,65,85,40,WATER,GHOST
593,Jellicent,100,60,70,85,105,60,WATER,GHOST
594,Alomomola,165,75,80,40,45,65,WATER,null
595,Joltik,50,47,50,57,50,65,BUG,ELECTRIC
596,Galvantula,70,77,60,97,60,108,BUG,ELECTRIC
597,Ferroseed,44,50,91,24,86,10,GRASS,STEEL
598,Ferrothorn,74,94,131,54,116,20,GRASS,STEEL
599,Klink,40,55,70,45,60,30,STEEL,null
600,Klang,60,80,95,70,85,50,STEEL,null
601,Klinklang,60,100,115,70,85,90,STEEL,null
602,Tynamo,35,55,40,45,40,60,ELECTRIC,null
603,Eelektrik,65,85,70,75,70,40,ELECTRIC,null
604,Eelektross,85,115,80,105,80,50,ELECTRIC,null
605,Elgyem,55,55,55,85,55,30,PSYCHIC,null
606,Beheeyem,75,75,75,125,95,40,PSYCHIC,null
607,Litwick,50,30,55,65,55,20,GHOST,FIRE
608,Lampent,60,40,60,95,60,55,GHOST,FIRE
609,Chandelure,60,55,90,145,90,80,GHOST,FIRE
610,Axew,46,87,60,30,40,57,DRAGON,null
611,Fraxure,66,117,70,40,50,67,DRAGON,null
612,Haxorus,76,147,90,60,70,97,DRAGON,null
613,Cubchoo,55,70,40,60,40,40,ICE,null
614,Beartic,95,110,80,70,80,50,ICE,null
615,Cryogonal,70,50,30,95,135,105,ICE,null
616,Shelmet,50,40,85,40,65,25,BUG,null
617,Accelgor,80,70,40,100,60,145,BUG,null
618,Stunfisk,109,66,84,81,99,32,GROUND,ELECTRIC
619,Mienfoo,45,85,50,55,50,65,FIGHTING,null
620,Mienshao,65,125,60,95,60,105,FIGHTING,null
621,Druddigon,77,120,90,60,90,48,DRAGON,null
622,Golett,59,74,50,35,50,35,GROUND,GHOST
623,Golurk,89,124,80,55,80,55,GROUND,GHOST
624,Pawniard,45,85,70,40,40,60,DARK,STEEL
625,Bisharp,65,125,100,60,70,70,DARK,STEEL
626,Bouffalant,95,110,95,40,95,55,NORMAL,null
627,Rufflet,70,83,50,37,50,60,NORMAL,FLYING
628,Braviary,100,123,75,57,75,80,NORMAL,FLYING
629,Vullaby,70,55,75,45,65,60,DARK,FLYING
630,Mandibuzz,110,65,105,55,95,80,DARK,FLYING
631,Heatmor,85,97,66,105,66,65,FIRE,null
632,Durant,58,109,112,48,48,109,BUG,STEEL
633,Deino,52,65,50,45,50,38,DARK,DRAGON
634,Zweilous,72,85,70,65,70,58,DARK,DRAGON
635,Hydreigon,92,105,90,125,90,98,DARK,DRAGON
636,Larvesta,55,85,55,50,55,60,BUG,FIRE
637,Volcarona,85,60,65,135,105,100,BUG,FIRE
638,Cobalion,91,90,129,90,72,108,STEEL,FIGHTING
639,Terrakion,91,129,90,72,90,108,ROCK,FIGHTING
640,Virizion,91,90,72,90,129,108,GRASS,FIGHTING
641,Tornadus,79,115,70,125,80,111,FLYING,null
642,Thundurus,79,115,70,125,80,111,ELECTRIC,FLYING
643,Reshiram,100,120,100,150,120,90,DRAGON,FIRE
644,Zekrom,100,150,120,120,100,90,DRAGON,ELECTRIC
645,Landorus,89,125,90,115,80,101,GROUND,FLYING
646,Kyurem,125,130,90,130,90,95,DRAGON,ICE
647,Keldeo,91,72,90,129,90,108,WATER,FIGHTING
648,Meloetta,100,77,77,128,128,90,NORMAL,PSYCHIC
649,Genesect,71,120,95,120,95,99,BUG,STEEL
